,Id,Date,User,Tweet_Origin,Tweet_English,Tweet_English_Cleaned,Subjectivity,Polarity
0,1580843804378087425,2022-10-14 08:51:48+00:00,AyOdeh,"בן גביר שולף אקדח על חפים מפשע. הוא סכנה אמתית לציבור! המשטרה היתה צריכה לעצור אותו לא לגבות אותו. פצצת זמן מתקתקת, צריך לשלול את הנשק מהכהניסט הזה בדחיפות.","Ben Gvir pulls out a gun on innocent. He is a real danger to the public! Police had to stop him not to charge him. A ticking time bomb, the weapon should be ruled out urgently.","Ben Gvir pulls out a gun on innocent. He is a real danger to the public! Police had to stop him not to charge him. A ticking time bomb, the weapon should be ruled out urgently.",0.35555555555555557,0.2333333333333333
1,1580140911450652672,2022-10-12 10:18:45+00:00,AyOdeh,"במחנה הפליטים בשועפט חיים 35,000 בני אדם, אלא שכבר ארבעה ימים שהתושבים מנותקים מן העולם, כולל שירותי רפואה מצילי חיים, כיבוי ואספקת מזון. ענישה קולקטיבית היא פשע מלחמה ואסורה לפי אמנת ז'נבה. אני דורש מהשר בר לב לעצור את הפגיעה באזרחים מיד! https://t.co/em2mTWIrGS","In the refugee camp in Schaft, 35,000 people live, but for four days that the residents are cut off from the world, including life -saving medical services, extinguishing and supply of food. Collective punishment is a war crime and is forbidden by the Geneva Convention. I require a heart bar to stop the civilian injury immediately!","In the refugee camp in Schaft, 35,000 people live, but for four days that the residents are cut off from the world, including life -saving medical services, extinguishing and supply of food. Collective punishment is a war crime and is forbidden by the Geneva Convention. I require a heart bar to stop the civilian injury immediately!",0.25,0.06818181818181818
2,1579895917469372419,2022-10-11 18:05:14+00:00,AyOdeh,"בהשקת קמפיין הבחירות בעברית של חד""ש-תע""ל הערב זעקתי את זעקת החברה הערבית הצמאה לביטחון אישי! היום נרצח בלוד צעיר נוסף. הנרצח ה89 מתחילת השנה. דמם של הנרצחים הללו הוא על הידיים של המשטרה והממשלה שהפקירה אותם.
אחרי הבחירות אנחנו נעמיד אותם על רגל אחת ונכפה עליהם לסיים את האלימות! https://t.co/B04AmQ4nCb","In launching the Hebrew campaign of Hebrew of Hadash-tonight, I cried out the cry of Arab society for personal security! Today we will be murdered in another young Lod. The 89th murdered from the beginning of the year. The blood of these murderers is on the hands of the police and the government who abandoned them. 
 After the election we will put them on one leg and force them to finish the violence!","In launching the Hebrew campaign of Hebrew of Hadash-tonight, I cried out the cry of Arab society for personal security! Today we will be murdered in another young Lod. The 89th murdered from the beginning of the year. The blood of these murderers is on the hands of the police and the government who abandoned them. 
 After the election we will put them on one leg and force them to finish the violence!",0.35,0.0625
3,1577930238633336832,2022-10-06 07:54:20+00:00,AyOdeh,"אני פונה הבוקר לשופטי בית המשפט העליון ולכל מי שהדמוקרטיה חשובה לו: אל תאפשרו לפשיזם להרים את ראשו המכוער. או שתהיה כאן דמוקרטיה לכולם או שאין כאן 
דמוקרטיה בכלל.

https://t.co/S27lIz8kNZ","I turn to the Supreme Court judges this morning and anyone whose democracy is important to him: Do not allow fascism to lift his ugly head. Either you have a democracy for everyone or there is no here 
 Democracy in general. 

 https://t.co/s27liz8knz","I turn to the Supreme Court judges this morning and anyone whose democracy is important to him: Do not allow fascism to lift his ugly head. Either you have a democracy for everyone or there is no here 
 Democracy in general. 

 ",0.8333333333333334,-0.0833333333333333
4,1577164072248041473,2022-10-04 05:09:51+00:00,AyOdeh,"כשההרוג הוא עבריין יהודי, החשודים נעצרים תוך שעות, כשנהרגת משפחה ערבית שלמה, אין פיענוח במשך שנים. עבור מי המשטרה עובדת? https://t.co/W0xN4TypFI","When killed he is a Jewish offender, the suspects stop in hours, when killed a whole Arab family, there is no decoding for years. For whom the police are working?","When killed he is a Jewish offender, the suspects stop in hours, when killed a whole Arab family, there is no decoding for years. For whom the police are working?",0.1,-0.05
5,1577030296318357505,2022-10-03 20:18:17+00:00,AyOdeh,"לעלובים מלה פמיליה שבאו לקלל בפנים מכוסות: ככה זה כשלא יודעים להפסיד בכבוד!
פאשיסטים, ניצחנו אתכם במגרש, תכף ננצח אתכם בקלפי!

@maccabireineh https://t.co/APCa0hF52V","To the Faith Familia who came to curse inside covered: That's how it is when you can't lose respect! 
 Fascists, we won you on the field, we will soon win you in the ballot box! 

 @Maccabireineh","To the Faith Familia who came to curse inside covered: That's how it is when you can't lose respect! 
 Fascists, we won you on the field, we will soon win you in the ballot box! 

 ",0.4,1.0
6,1574006229533351939,2022-09-25 12:01:43+00:00,AyOdeh,"אנו עובדים כל השנה כדי לבנות עתיד טוב לכולם. ערבים ויהודים.
חג שמח לכל חבריי היהודים. מאחל לכולנו שזו תהיה השנה בה נסיים את הכיבוש, נבנה חברה שוויונית ונקיים צדק חברתי לכולם.
שנה טובה! https://t.co/MOAl1jScUe","We work all year to build a good future for everyone. Arabs and Jews. 
 Happy holiday for all my Jewish friends. Wish all of us that this will be the year we will end the occupation, we will build an equitable society and have social justice to everyone. 
 Happy New Year!","We work all year to build a good future for everyone. Arabs and Jews. 
 Happy holiday for all my Jewish friends. Wish all of us that this will be the year we will end the occupation, we will build an equitable society and have social justice to everyone. 
 Happy New Year!",0.4637445887445888,0.3576839826839827
7,1573209023457132545,2022-09-23 07:13:54+00:00,AyOdeh,"בשביל לחסום את הפשיסטים מספיק עוד 10% הצבעה בקרב האזרחים הערבים ואת זה נעשה. אבל שותפות זה סיפור אחר לגמרי שמצריך דבקות 
כנה בערכי השלום והשוויון.

https://t.co/ooeihHfyOR","To block fascists enough another 10% vote among Arab citizens and this is done. But a partnership is a completely different story that requires adherence 
 Honest in peace and equality values. 

 https://t.co/oeiihfyor","To block fascists enough another 10% vote among Arab citizens and this is done. But a partnership is a completely different story that requires adherence 
 Honest in peace and equality values. 

 ",0.6666666666666666,0.19999999999999998
8,1573042638517071872,2022-09-22 20:12:45+00:00,AyOdeh,"2/2 גם נתניהו דיבר על שתי מדינות. מנהיגי המדינה התאהבו בתהליך השלום ולא בשלום עצמו, בניהול הסכסוך ולא בפתירתו. חובת ההוכחה היא על הכובש בלסיים את הכיבוש.","2/2 Netanyahu also talked about two states. State leaders fell in love with the peace process and not in peace itself, in the management of the conflict and not in his solicit. The duty of proof is on the conqueror to end the occupation.","2/2 Netanyahu also talked about two states. State leaders fell in love with the peace process and not in peace itself, in the management of the conflict and not in his solicit. The duty of proof is on the conqueror to end the occupation.",0.6,0.5
9,1573042636545482755,2022-09-22 20:12:44+00:00,AyOdeh,1/2 אמנם הנאום של ראש הממשלה יאיר לפיד החזיר את הסוגיה הפלסטינית לשיח הציבורי בבחירות וזה חשוב בפני עצמו. אבל כנראה שאמירות דיפלומטיות לחוד ומעשים בשטח לחוד.,1/2 While Prime Minister Yair Lapid's speech returned the Palestinian issue to public discourse in the elections and this is important in itself. But apparently diplomatic statements and acts in the field are separate.,1/2 While Prime Minister Yair Lapid's speech returned the Palestinian issue to public discourse in the elections and this is important in itself. But apparently diplomatic statements and acts in the field are separate.,0.47222222222222215,0.15
